date,merchant_name,category,amount,account_id
2026-05-14,Thai Kitchen,Dining,23.37,demo-checking
2026-05-14,Lyft,Transportation,9.37,demo-checking
2026-05-14,Spotify,Subscriptions,11.99,demo-checking
2026-05-15,Uber,Transportation,30.99,demo-checking
2026-05-15,Amazon,Shopping,55.45,demo-checking
2026-05-16,Pizza Palace,Dining,18.03,demo-checking
2026-05-17,Sushi Place,Dining,63.84,demo-checking
2026-05-18,Sushi Place,Dining,54.88,demo-checking
2026-05-18,Pizza Palace,Dining,18.5,demo-checking
2026-05-19,Uber,Transportation,34.16,demo-checking
2026-05-20,Shell Gas,Transportation,57.95,demo-checking
2026-05-20,Metro Transit,Transportation,5.8,demo-checking
2026-05-20,Target,Shopping,33.43,demo-checking
2026-05-20,iCloud Storage,Subscriptions,2.99,demo-checking
2026-05-21,ATM Withdrawal,Miscellaneous,97.0,demo-checking
2026-05-22,Sushi Place,Dining,33.51,demo-checking
2026-05-23,Target,Shopping,37.83,demo-checking
2026-05-24,Uber,Transportation,28.2,demo-checking
2026-05-24,Shell Gas,Transportation,58.04,demo-checking
2026-05-25,Thai Kitchen,Dining,24.21,demo-checking
2026-05-26,Sushi Place,Dining,44.54,demo-checking
2026-05-27,Safeway,Groceries,29.55,demo-checking
2026-05-27,Pizza Palace,Dining,39.11,demo-checking
2026-05-28,Hair Salon,Personal Care,60.05,demo-checking
2026-05-29,Uber,Transportation,9.98,demo-checking
2026-05-30,Chipotle,Dining,11.83,demo-checking
2026-05-30,Marriott Hotel,Travel,612.0,demo-checking
2026-05-31,Trader Joe's,Groceries,21.75,demo-checking
2026-05-31,Safeway,Groceries,62.34,demo-checking
2026-05-31,Shell Gas,Transportation,45.16,demo-checking
2026-05-31,Cleaning Service,Home,93.41,demo-checking
2026-06-01,Pizza Palace,Dining,18.57,demo-checking
2026-06-01,Chipotle,Dining,10.48,demo-checking
2026-06-01,Gym Membership,Subscriptions,45.0,demo-checking
2026-06-02,Safeway,Groceries,61.32,demo-checking
2026-06-03,Target,Shopping,47.89,demo-checking
2026-06-03,Amazon,Shopping,90.57,demo-checking
2026-06-03,PG&E Electric,Utilities,95.0,demo-checking
2026-06-04,Pizza Palace,Dining,20.36,demo-checking
2026-06-04,Nike,Shopping,100.96,demo-checking
2026-06-05,Home Depot,Home,86.45,demo-checking
2026-06-05,Comcast Internet,Utilities,79.99,demo-checking
2026-06-06,Whole Foods,Groceries,113.5,demo-checking
2026-06-07,Local Cafe,Dining,12.42,demo-checking
2026-06-07,Lyft,Transportation,21.09,demo-checking
2026-06-07,Verizon Wireless,Utilities,85.0,demo-checking
2026-06-08,Safeway,Groceries,70.08,demo-checking
2026-06-08,Metro Transit,Transportation,3.77,demo-checking
2026-06-08,ATM Withdrawal,Miscellaneous,43.01,demo-checking
2026-06-09,Trader Joe's,Groceries,23.21,demo-checking
2026-06-09,Nike,Shopping,40.15,demo-checking
2026-06-11,Sushi Place,Dining,63.88,demo-checking
2026-06-11,ATM Withdrawal,Miscellaneous,89.83,demo-checking
2026-06-12,Trader Joe's,Groceries,31.44,demo-checking
2026-06-12,Sushi Place,Dining,57.02,demo-checking
2026-06-12,Netflix,Subscriptions,15.49,demo-checking
2026-06-13,Trader Joe's,Groceries,67.37,demo-checking
2026-06-14,Steam,Entertainment,55.92,demo-checking
2026-06-14,Spotify,Subscriptions,11.99,demo-checking
2026-06-15,Uber,Transportation,8.25,demo-checking
2026-06-16,Whole Foods,Groceries,35.73,demo-checking
2026-06-16,Local Cafe,Dining,10.57,demo-checking
2026-06-16,Thai Kitchen,Dining,38.68,demo-checking
2026-06-17,Sushi Place,Dining,29.46,demo-checking
2026-06-18,Trader Joe's,Groceries,36.03,demo-checking
2026-06-18,Thai Kitchen,Dining,42.8,demo-checking
2026-06-19,Metro Transit,Transportation,4.43,demo-checking
2026-06-19,AMC Theatres,Entertainment,16.97,demo-checking
2026-06-20,AMC Theatres,Entertainment,23.69,demo-checking
2026-06-20,Cleaning Service,Home,86.79,demo-checking
2026-06-20,iCloud Storage,Subscriptions,2.99,demo-checking
2026-06-21,ATM Withdrawal,Miscellaneous,80.05,demo-checking
2026-06-22,Trader Joe's,Groceries,73.12,demo-checking
2026-06-22,Uber,Transportation,26.03,demo-checking
2026-06-22,Steam,Entertainment,53.48,demo-checking
2026-06-23,Nike,Shopping,71.47,demo-checking
2026-06-23,Home Depot,Home,107.46,demo-checking
2026-06-24,Target,Shopping,35.6,demo-checking
2026-06-25,Whole Foods,Groceries,42.08,demo-checking
2026-06-25,Sushi Place,Dining,34.58,demo-checking
2026-06-25,Shell Gas,Transportation,48.35,demo-checking
2026-06-25,Shell Gas,Transportation,47.48,demo-checking
2026-06-28,Trader Joe's,Groceries,80.65,demo-checking
2026-06-29,Whole Foods,Groceries,85.62,demo-checking
2026-06-29,Chipotle,Dining,15.44,demo-checking
2026-06-29,Uber,Transportation,9.37,demo-checking
2026-06-29,Steam,Entertainment,19.67,demo-checking
2026-06-29,Venmo Transfer,Miscellaneous,64.49,demo-checking
2026-06-30,Uber,Transportation,19.96,demo-checking
2026-07-01,Gym Membership,Subscriptions,45.0,demo-checking
2026-07-02,Lyft,Transportation,21.89,demo-checking
2026-07-02,Uber,Transportation,28.05,demo-checking
2026-07-02,Hair Salon,Personal Care,74.51,demo-checking
2026-07-03,Safeway,Groceries,22.39,demo-checking
2026-07-03,ATM Withdrawal,Miscellaneous,76.76,demo-checking
2026-07-03,PG&E Electric,Utilities,95.0,demo-checking
2026-07-04,Chipotle,Dining,16.88,demo-checking
2026-07-04,CVS Pharmacy,Healthcare,31.54,demo-checking
2026-07-05,Comcast Internet,Utilities,79.99,demo-checking
2026-07-07,Thai Kitchen,Dining,38.39,demo-checking
2026-07-07,Lyft,Transportation,11.99,demo-checking
2026-07-07,Target,Shopping,45.5,demo-checking
2026-07-07,Verizon Wireless,Utilities,85.0,demo-checking
